date,spot,iv,lsp,kelly,budget,used,call_lots,put_lots,delta,equity
2026-04-28,3.041,0.043,0.698,0.1,100000.0,34314.0,4,6,11478.0,1000000.07
2026-04-29,3.062,0.026,0.825,0.1,100000.0,34260.0,4,6,13473.0,1000000.07
2026-05-05,3.1,0.142,0.945,0.1,100000.0,35908.0,4,6,15241.0,1000000.07
2026-05-06,3.103,0.085,0.856,0.1,100000.0,36230.0,4,6,13790.0,1000000.07
2026-05-07,3.075,0.342,0.521,0.1,100000.0,35114.0,4,6,8465.0,1000000.07
2026-05-10,3.116,0.422,0.551,0.1,100000.0,36601.0,4,6,8840.0,1000000.07
2026-05-11,3.119,0.426,0.48,0.1,100000.0,39534.0,5,5,7697.0,1000000.07
2026-05-12,3.123,0.334,0.437,0.1,100000.0,39613.0,5,5,6993.0,1000000.07
2026-05-13,3.074,0.55,0.155,0.1,100000.0,36979.0,5,5,2513.0,1000000.07
2026-05-14,3.035,0.598,0.132,0.1,100000.0,35595.0,5,5,2169.0,1000000.12
2026-05-17,3.008,0.33,-0.179,0.1,100000.0,34931.0,5,5,-2971.0,1000000.16
2026-05-18,3.026,0.429,-0.048,0.1,100000.0,34962.0,5,5,-794.0,1000000.17
2026-05-19,3.029,0.425,-0.022,0.1,100000.0,34868.0,5,5,-363.0,1000000.19
2026-05-20,2.994,0.36,0.054,0.1,100000.0,34388.0,5,5,902.0,1000000.19
2026-05-21,2.995,0.296,0.125,0.1,100000.0,34235.0,5,5,2094.0,1000000.21
2026-05-24,3.039,0.444,0.33,0.1,100000.0,34698.0,5,5,5423.0,1000000.22
2026-05-25,3.046,0.428,0.308,0.1,100000.0,34872.0,5,5,5062.0,1000000.21
2026-05-26,3.008,0.557,0.037,0.1,100000.0,34696.0,5,5,618.0,1000000.18
2026-05-27,2.985,0.503,0.204,0.1,100000.0,34230.0,5,5,3423.0,1000000.2
2026-05-28,2.997,0.517,0.382,0.1,100000.0,34404.0,5,5,6366.0,1000000.2
2026-05-31,2.968,0.301,-0.154,0.1,100000.0,33936.0,5,5,-2598.0,1000000.21
2026-06-01,2.993,0.419,-0.163,0.1,100000.0,33751.0,5,5,-2720.0,1000000.26
2026-06-02,2.996,0.32,-0.093,0.1,100000.0,33682.0,5,5,-1552.0,1000000.27
2026-06-03,2.964,0.372,-0.076,0.1,100000.0,33398.0,5,5,-1283.0,1000000.26
2026-06-04,2.94,0.358,-0.159,0.1,100000.0,34045.0,5,5,-2699.0,1000000.25
2026-06-07,2.901,0.411,-0.219,0.1,100000.0,35920.0,5,5,-3774.0,1000000.25
2026-06-08,2.917,0.343,-0.272,0.1,100000.0,35056.0,5,5,-4658.0,1000000.25
2026-06-09,2.931,0.401,-0.034,0.1,100000.0,34179.0,5,5,-588.0,1000000.25
2026-06-10,2.928,0.353,0.144,0.1,100000.0,34131.0,5,5,2462.0,1000000.25
2026-06-11,2.982,0.576,0.526,0.1,100000.0,33574.0,4,6,8814.0,1000000.25
2026-06-14,3.024,0.322,0.837,0.1,100000.0,33106.0,4,6,13838.0,1000000.24
2026-06-15,2.993,0.577,0.483,0.1,100000.0,33571.0,5,5,8072.0,1000000.21
2026-06-16,3.015,0.579,0.597,0.1,100000.0,33588.0,4,6,9909.0,1000000.19
2026-06-17,3.017,0.649,0.662,0.1,100000.0,33472.0,4,6,10973.0,1000000.2
2026-06-21,3.097,0.839,0.753,0.1,100000.0,34958.0,4,6,12159.0,1000000.16
2026-06-22,3.005,1.0,0.437,0.1,100000.0,34690.0,5,5,7268.0,1000000.11
2026-06-23,3.024,0.973,0.64,0.1,100000.0,34100.0,4,6,10582.0,1000000.13
2026-06-24,3.059,0.993,0.619,0.1,100000.0,33650.0,4,6,10110.0,1000000.15
2026-06-25,3.0,1.0,0.51,0.1,100000.0,34734.0,4,6,8500.0,1000000.09
2026-06-28,3.083,1.0,0.473,0.1,100000.0,36403.0,5,5,7675.0,1000000.14
2026-06-29,3.083,0.688,0.651,0.1,100000.0,34484.0,4,6,10554.0,1000000.13
2026-06-30,3.074,0.704,0.625,0.1,100000.0,33685.0,4,6,10167.0,1000000.17
2026-07-01,3.003,0.834,0.324,0.1,100000.0,34671.0,5,5,5398.0,1000000.08
2026-07-02,3.023,0.745,0.508,0.1,100000.0,33720.0,4,6,8402.0,1000000.15
2026-07-05,3.046,0.465,0.208,0.1,100000.0,34362.0,5,5,3418.0,1000000.17
2026-07-06,3.012,0.488,0.171,0.1,100000.0,33514.0,5,5,2845.0,1000000.15
2026-07-07,3.009,0.492,0.004,0.1,100000.0,33213.0,5,5,62.0,1000000.15
2026-07-08,3.089,0.526,0.555,0.1,100000.0,33257.0,4,6,8985.0,1000000.15
2026-07-09,3.057,0.609,0.417,0.1,100000.0,33384.0,5,5,6817.0,1000000.15
2026-07-12,3.011,0.674,-0.008,0.1,100000.0,33352.0,5,5,-132.0,1000000.09
2026-07-13,3.058,0.708,0.219,0.1,100000.0,33366.0,5,5,3588.0,1000000.15
2026-07-14,3.064,0.702,0.352,0.1,100000.0,33338.0,5,5,5745.0,1000000.16
2026-07-15,3.004,0.552,0.063,0.1,100000.0,33153.0,5,5,1056.0,1000000.1
2026-07-16,2.931,0.665,-0.237,0.1,100000.0,34129.0,5,5,-4040.0,1000000.03
2026-07-19,3.007,0.916,0.245,0.1,100000.0,32944.0,5,5,4070.0,1000000.13
2026-07-20,3.079,1.0,0.29,0.1,100000.0,33819.0,5,5,4714.0,1000000.19
2026-07-21,3.086,1.0,0.319,0.1,100000.0,33481.0,5,5,5168.0,1000000.26
2026-07-22,3.084,0.847,0.255,0.1,100000.0,32974.0,5,5,4142.0,1000000.3
2026-07-23,3.05,0.537,0.298,0.1,100000.0,31575.0,5,5,4881.0,1000000.32
2026-07-26,3.054,0.329,0.064,0.1,100000.0,31213.0,5,5,1051.0,1000000.36
2026-07-27,3.022,0.0,-0.186,0.1,100000.0,31144.0,5,5,-3073.0,1000000.32
2026-07-28,3.023,0.0,-0.501,0.1,100000.0,31768.0,6,4,-8294.0,1000000.31
2026-07-29,3.026,0.016,-0.208,0.1,100000.0,31587.0,5,5,-3433.0,1000000.28
2026-07-30,3.033,0.0,-0.047,0.1,100000.0,31026.0,5,5,-772.0,1000000.33
2026-08-02,2.99,0.126,-0.386,0.1,100000.0,30390.0,5,5,-6448.0,1000000.33
2026-08-03,2.983,0.079,-0.592,0.1,100000.0,29452.0,6,4,-9922.0,1000000.33
2026-08-04,3.029,0.291,-0.164,0.1,100000.0,30063.0,5,5,-2704.0,1000000.33
2026-08-05,3.029,0.29,-0.021,0.1,100000.0,29883.0,5,5,-348.0,1000000.33
2026-08-06,3.066,0.363,0.34,0.1,100000.0,30186.0,5,5,5538.0,1000000.33
2026-08-09,3.075,0.133,0.484,0.1,100000.0,30595.0,5,5,7867.0,1000000.33
2026-08-10,3.039,0.298,0.491,0.1,100000.0,29423.0,5,5,8079.0,1000000.33
2026-08-11,3.043,0.178,0.472,0.1,100000.0,29316.0,5,5,7753.0,1000000.33
2026-08-12,3.037,0.183,0.28,0.1,100000.0,29124.0,5,5,4606.0,1000000.33
2026-08-13,3.021,0.03,-0.189,0.1,100000.0,28582.0,5,5,-3122.0,1000000.33
2026-08-16,3.052,0.156,0.17,0.1,100000.0,28879.0,5,5,2777.0,1000000.33
2026-08-17,3.047,0.032,0.343,0.1,100000.0,28709.0,5,5,5630.0,1000000.33
2026-08-18,2.999,0.221,-0.053,0.1,100000.0,28168.0,5,5,-891.0,1000000.33
2026-08-19,2.988,0.221,-0.215,0.1,100000.0,27916.0,5,5,-3604.0,1000000.33
2026-08-20,2.993,0.228,-0.158,0.1,100000.0,27746.0,5,5,-2641.0,1000000.33
2026-08-23,2.979,0.073,-0.523,0.1,100000.0,27048.0,6,4,-8784.0,1000000.33
2026-08-24,2.982,0.095,-0.277,0.1,100000.0,27519.0,5,5,-4653.0,1000000.33
2026-08-25,3.013,0.035,0.189,0.1,100000.0,27686.0,5,5,3134.0,1000000.33
2026-08-26,3.04,0.048,0.466,0.1,100000.0,28045.0,5,5,7670.0,1000000.33
2026-08-27,3.037,0.064,0.526,0.1,100000.0,26986.0,4,6,8662.0,1000000.33
